"review_id","date","rating","app_version","title","text","critical_review"
"1726978031",2017-08-13,1,"5.6.0","Nice ripoff for tourists","8h usage thats perfect for tourists to tour monuments is actually a perfect trap to collect usage fees from them.",1
"1730380853",2017-08-16,5,"5.6.0","Works again!","Great UI and full-featured. There was a moment after the beta where it stopped working, but it's all good now. I particularly appreciate the usage stats.",0
"1730395952",2017-08-16,5,"5.6.0","GPS issue resolved","I already had location turned in but had to turn it on specifically for the app. Now it worked!",0
"1735853363",2017-08-20,4,"5.7.0","Excellent app","The unlock bike is the best feature! No more having to carrying my keyfob. I'm sure more features will come such as showing bike lanes but I'd like to see the metro stations as well. And a somewhere to give feedback also. Thanks for a great app",0
"1909231217",2017-11-09,3,"6.5.0","Slow Refresh","The app has gotten really slow when refreshing since the last update. When I open the app it takes a solid 10-15 seconds before it shows the bike stations. It used to be almost instantaneous.",0
"1974721920",2017-12-06,1,"6.6.2","Dock status icon awful","It’s very difficult to tell how full docks are. A user should be able to glance at the screen and get a sense of what areas have full and empty docks. Rather than show that, the icons are 80% filled with a bike symbol. Completely unnecessary. People know they’re using a Bike app! It’s a simple fix.",1
"2391751396",2018-04-06,3,"10.0.1","First Time User","Gave this a shot and noticed a couple things that should be noted for other users. The locations all have kiosks so this app isn’t required. Its nice to find locations, and the active map is nice to find kiosks. I do like the pin drop that tells you if there are plenty of bikes there or not. From the app there is no way to get more than 1 bike. I had to use a different card via kiosk to obtain a different bike. Some of the locations the keypad isn’t working so I tried every bay before I found one that worked. Planning a bike trip could be better and easier to follow on map.",0
"2485228286",2018-04-29,3,"10.2.0","30 min not enough time","We’re in Nova where the bike stations are few and far between. The idea is awesome and we’re psyched to have a dock in our neighborhood, but of our 30 min ride 15 was going out of our way to find a dock to check into. Miami had a 2 hour limit, which was wonderful and left us feeling like we weren’t rushing. Here we wanted to stop along the W&OD, but couldn’t because we needed to get to George Mason ASAP. Forget about going out towards FC. The last dock is at EFC and navigating 15 min out and then having to turn back brings you nowhere. Great in theory for downtown, but not an enjoyable experience outside of town. And honestly, who’s going to be able to commute on a 3 speed on the Custis from EFC into the city in 30 min?",0
"2496766800",2018-05-02,1,"10.2.0","Pricing is deceiving!","They have 3 big pictures stating their pricing. The one we used clearly said $8 per 24 hour period. What they didn’t say was that that 24 hour period only allows you unlimited rides at maximum length of 30 mins each! What they try to do is make it seem as if you get the bike for 24 hours for $8. I got a $50 charge on my card and I was like what in the world?! Then I looked up reviews online of their service and everyone is complaining about the same thing! What a sham! Your max ride time is 30 mins! After that you will be charged fees every 30 mins!",1
"2501555271",2018-05-03,4,"10.2.0","Thanks and question","Could the app give audio directions to the next place on our route? I find I’m having to go back and forth between google maps and bokeshare app to find my way. I’m an Infrequent visitor to dc so need all the help I can get. Also can you do something about all the construction and roadwork detours? 😶I love riding a bike around dc for a rock bottom reasonable price. Thanks so much for making that possible! Susy",0
"2517604043",2018-05-07,5,"10.2.0","Great app!","Great app.",0
"2583322992",2018-05-22,3,"11.0.0","Mostly great!","Works great. Except list of bike a available is not accurate. Otherwise super easy and convenient to use and efficient.",0
"2628299866",2018-06-01,5,"11.1.1","Convenient and good customer service","Capital BikeShare is awesome. My work provides a discounted yearly membership for unlimited rides which definitely makes me use the bikes more than I normally would. The locations are convenient. I can park and lot have to worry about locking my bike or returning to the parked location. I’ve only had one issue when my bike didn’t lock upon return, but the customer service was great and they easily took care of it. High recommend!",0
"2661634970",2018-06-08,5,"11.2.3","Excellent app. Bike sharing easy","Excellent app. Bike sharing easy",0
"2692978458",2018-06-14,5,"11.2.3","Best capital bikeshare app","The best app for the capita bike share. Has the best layout and user interface by far!",0
"2715464950",2018-06-17,5,"11.2.3","Great way to see the city","Such an awesome way to get around the city! Thank you",0
"2798533324",2018-06-29,4,"11.3.0","Fun. App can use some work","Takes getting used to. Should have more tutorial",0
"2838918181",2018-07-04,5,"11.3.0","Love this service!!","D.C. is the perfect place for a bike share system like this. Easy to use and plenty of docking stations. Driving downtown is for suckers..:)",0
"2847088157",2018-07-05,5,"11.4.1","Btmurph124567809","Wonderful",0
"2849593361",2018-07-06,5,"11.4.1","Best way to see the city.","awesome",0
"2865329243",2018-07-08,4,"11.4.1","Great Simple Useful.","I found this app easy to use and extremely useful. Most helpful features for me is locating nearby bikes And the confirmation notification that comes when immediately upon docking the bike I found that most status data on breaks and docs available was accurate however a couple were way off. Another useful feature is the stopwatch starting immediately after the bike is checked out. The most desirable feature that isn’t implemented is being able to locate key dispensers. The online web based map shows that info but the app does not include it at all if you need to find a key dispenser forget about using the app for that.",0
"2880589140",2018-07-10,5,"11.4.1","Washington/ Tennessee","Great app. We had a blast!",0
